"","CODE","SEC_NAME","IPO_DATE","EXCH_CITY","MKT","TRADE_CODE","COMPINDEX2","CONCEPT","SHSC","INDUSTRY_GICS","INDUSTRY_GICSCODE","INDEXCODE_WIND","INDUSTRY_SW","INDUSTRY_SWCODE","INDEXCODE_SW","INDUSTRY_CITIC","INDUSTRY_CITICCODE","TOTAL_SHARES","FLOAT_A_SHARES","HOLDER_TOP10PCT","HOLDER_CONTROLLER","HOLDER_TOTALBYINST","HOLDER_TOTALBYFUND","HOLDER_TOTALBYBYSEC","HOLDER_NUM","HOLDER_AVGNUM","HOLDER_AVGPCT","HOLDER_HAVGPCTCHANGE","HOLDER_QAVGPCTCHANGE","CLOSE","PCT_CHG_PER"
"1","000001.SZ","平安银行",33331,"深圳","主板","000001","否","国家队;证金概念;融资融券标的;社保重仓;大盘蓝筹","否","金融","40",NA,"银行","1000012612000000","801780.SI","银行","b10l000000000000",14308676139,11804054579,NA,"NaN",6183582074,733944303,NA,275838,35661.1929828378,0.0036253163125366,8.14499815108869,12.9543427664064,12.28,7.06190061028769
"2","000002.SZ","万科A",33267,"深圳","主板","000002","否","深圳前海新区;国家队;证金概念;举牌;融资融券标的;含H股的A股;券商重仓;基金重仓;基金增仓;大盘蓝筹;预减","否","金融","40",NA,"房地产","6118000000000000","801180.SI","房地产","b10n000000000000",11049610300,9719267833,NA,"NaN",4138203054,1451639173,NA,496922,19534.1931085696,0.00201244908384979,33.3692220073374,24.7205211437955,14.5,5.53129548762736
"3","000004.SZ","国农科技",33252,"深圳","主板","000004","否","质押式回购;举牌;超涨","否","医疗保健","35",NA,"医药生物","6115000000000000","801150.SI","医药","b10i000000000000",83976684,83875459,NA,"李林琳",30343060,5389566,NA,12670,6620.0046566693,0.0789266005158424,-10.7971586424625,-1.94159431728491,39.35,20.7425590671985
"4","000005.SZ","世纪星源",33217,"深圳","主板","000005","否","环保概念;深圳前海新区;质押式回购;超涨;并购阶段(需定增)","否","金融","40",NA,"房地产","6118000000000000","801180.SI","房地产","b10n000000000000",914333607,913743007,NA,"丁芃;郑列列",227577782,50,NA,111461,8197.87196418478,0.00897174794226885,-4.07765945039071,7.47974627896753,10.34,-11.0154905335628
"5","000006.SZ","深振业A",33721,"深圳","主板","000006","否","深圳前海新区;国家队;融资融券标的;大盘蓝筹;超涨;预增","否","金融","40",NA,"房地产","6118000000000000","801180.SI","房地产","b10n000000000000",1349995046,1341487400,NA,"深圳市人民政府国有资产监督管理委员会",495975299,17741623,6930500,52720,25396.3797989378,0.0189681332558393,-7.93816388467375,-19.8634294385432,11.88,7.4141048824593
"6","000007.SZ","零七股份",33707,"深圳","主板","000007","否","涉矿;质押式回购","否","可选消费","25",NA,"休闲服务","6121000000000000","801210.SI","有色金属","b103000000000000",230965363,205887138,NA,"练卫飞",57802010,3160499,6641621,15159,13581.841678211,0.0659674108028412,3.10706510983576,6.56375750379312,23.63,-18.9921151868358
"7","000008.SZ","神州高铁",33731,"深圳","主板","000008","否","高铁;高送转概念;超涨;预增;预减;高送转;并购阶段(需定增)","否","工业","20",NA,"机械设备","6107000000000000","801890.SI","机械","b10a000000000000",2409432927,640728126,NA,"文炳荣",19016294,4641617,NA,9490,15522.2587987355,0.105374075472355,17.1759747102213,32.8556375131718,12.85,13.215859030837
"8","000009.SZ","中国宝安",33414,"深圳","主板","000009","否","涉矿;石墨烯;军民融合;融资融券标的;超涨;预增","否","工业","20",NA,"综合","6123000000000000","801230.SI","综合","b10t000000000000",1592107386,1489669062,NA,"NaN",385625259,79171161,NA,119562,12459.3856074673,0.00836386159062386,-1.5514962948094,7.61780498820694,18.13,16.1434977578475
"9","000010.SZ","深华新",34999,"深圳","主板","000010","否","重组;装饰园林;超涨","否","工业","20",NA,"建筑装饰","6106020000000000","801720.SI","建筑","b107000000000000",705613140,407929925,NA,"郑方",56102539,NA,NA,20514,17459.171687628,0.0487471967935562,26.9620746807058,1.63790582041532,9.71,9.84162895927603
"10","000011.SZ","深物业A",33693,"深圳","主板","000011","否","重组;深圳前海新区;含B股的A股;超涨;预减","否","金融","40",NA,"房地产","6118000000000000","801180.SI","房地产","b10n000000000000",595979092,175862626,NA,"深圳市人民政府国有资产监督管理委员会",32296154,1248600,NA,38575,NA,NA,9.33246921581337,4.85288399222294,14.88,14.7262914417887
