"","ErrorCode","Data.CODE","Data.LASTTRADE_DATE","Data.LASTDELIVERY_DATE","Data.DLMONTH","Data.LPRICE","Data.SCCODE","Data.MARGIN","Data.PUNIT","Data.CHANGELT","Data.MFPRICE","Data.CONTRACTMULTIPLIER","Data.CDMONTHS","Data.THOURS","Data.LTDATED","Data.DDATE","Data.FTMARGINS","Data.TRADE_HISCODE","Data.CLOSE","Data.TURN","Data.OI","Data.OI_CHG","Data.PCT_CHG_SETTLEMENT","Data.DISCOUNT_RATIO","Data.DISCOUNT","Data.HIS_CLOSE","Data.HIS_OPEN","Data.HIS_HIGH","Data.HIS_LOW","Data.HIS_SETTLE","Data.HIS_PRESETTLE","Data.HIS_AVGPRICE","Data.HIS_CHANGE","Data.HIS_CHANGE_SETTLEMENT","Data.HIS_PCTCHANGE","Data.HIS_PCTCHANGE_SETTLEMENT","Data.HIS_SWING","Data.HIS_VOLUME","Data.HIS_TURNOVER","Data.HIS_OI","Data.HIS_OICHANGE","Data.ST_STOCK","Data.US_PRECLOSE","Data.US_OPEN","Data.US_HIGH","Data.US_LOW","Data.US_CLOSE","Data.US_AVGPRICE","Data.US_CHANGE","Data.US_PCTCHANGE","Data.US_TURN","Data.US_VOLUME","Data.US_AMOUNT","Data.US_SWING","Data.TBF_CVF2","Data.TBF_CVF","Data.TBF_IRR","Data.TBF_INTEREST","Data.TBF_PAYMENT","Data.TBF_DELIVERPRICE","Data.TBF_INVOICEPRICE","Data.TBF_SPREAD","Data.TBF_BASIS","Data.TBF_CTD","Time"
"1",0,"ACDH16E.CME",42443,42445,"201603",NA,"CME澳元兑加元",NA,"张",NA,"0.0001加元/澳元",1,"3,6,9,12中最近的6个月份","NaN","NaN",NA,NA,"ACDH16E.CME",0.9579,NA,NA,NA,NA,NA,NA,0.9579,NA,NA,0.9579,0.9556,NA,NA,0.00229999999999997,0,0.240686479698615,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,2015-11-24 20:25:56
"2",0,"ACDH17E.CME",42807,42809,"201703",NA,"CME澳元兑加元",NA,"张",NA,"0.0001加元/澳元",1,"3,6,9,12中最近的6个月份","NaN","NaN",NA,NA,"ACDH17E.CME",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.9401,NA,NA,NA,0,NA,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,2015-11-24 20:25:56
"3",0,"ACDM16E.CME",42534,42536,"201606",NA,"CME澳元兑加元",NA,"张",NA,"0.0001加元/澳元",1,"3,6,9,12中最近的6个月份","NaN","NaN",NA,NA,"ACDM16E.CME",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.9516,NA,NA,NA,0,NA,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,2015-11-24 20:25:56
"4",0,"ACDU16E.CME",42632,42634,"201609",NA,"CME澳元兑加元",NA,"张",NA,"0.0001加元/澳元",1,"3,6,9,12中最近的6个月份","NaN","NaN",NA,NA,"ACDU16E.CME",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.9473,NA,NA,NA,0,NA,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,2015-11-24 20:25:56
"5",0,"ACDZ15E.CME",42352,42354,"201512",NA,"CME澳元兑加元",NA,"张",NA,"0.0001加元/澳元",1,"3,6,9,12中最近的6个月份","NaN","NaN",NA,NA,"ACDZ15E.CME",0.9604,NA,NA,NA,NA,NA,NA,0.9604,NA,NA,0.9586,0.96,NA,NA,0.000400000000000067,0,0.0416666666666736,0,NA,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,2015-11-24 20:25:56
"6",0,"ACDZ16E.CME",42723,42725,"201612",NA,"CME澳元兑加元",NA,"张",NA,"0.0001加元/澳元",1,"3,6,9,12中最近的6个月份","NaN","NaN",NA,NA,"ACDZ16E.CME",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.9435,NA,NA,NA,0,NA,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,2015-11-24 20:25:56
"7",0,"ADH16E.CME",42443,42445,"201603",NA,"CME澳元兑美元",NA,"张",NA,"0.0001美元/澳元",1,"3,6,9,12","NaN","NaN",NA,NA,"ADH16E.CME",0.7147,NA,1433,NA,NA,NA,NA,0.7147,0.719,0.7191,0.7119,0.7145,0.7199,NA,-0.00519999999999998,-0.00539999999999996,-0.722322544797886,-0.750104181136263,1.00769769069279,1602,NA,1433,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,2015-11-24 20:25:56
"8",0,"ADH17E.CME",42807,42809,"201703",NA,"CME澳元兑美元",NA,"张",NA,"0.0001美元/澳元",1,"3,6,9,12","NaN","NaN",NA,NA,"ADH17E.CME",0.7084,NA,NA,NA,NA,NA,NA,0.7084,NA,NA,0.7084,0.7047,NA,NA,0.00370000000000004,0,0.525046118915856,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,2015-11-24 20:25:56
"9",0,"ADH18E.CME",43178,43180,"201803",NA,"CME澳元兑美元",NA,"张",NA,"0.0001美元/澳元",1,"3,6,9,12","NaN","NaN",NA,NA,"ADH18E.CME",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.6973,NA,NA,NA,0,NA,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,2015-11-24 20:25:56
"10",0,"ADH19E.CME",43542,43544,"201903",NA,"CME澳元兑美元",NA,"张",NA,"0.0001美元/澳元",1,"3,6,9,12","NaN","NaN",NA,NA,"ADH19E.CME",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.691,NA,NA,NA,0,NA,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,2015-11-24 20:25:56
