"","x"
"1","000001.SZ"
"2","000002.SZ"
"3","000006.SZ"
"4","000009.SZ"
"5","000012.SZ"
"6","000021.SZ"
"7","000024.SZ"
"8","000028.SZ"
"9","000029.SZ"
"10","000031.SZ"
"11","000039.SZ"
"12","000042.SZ"
"13","000046.SZ"
"14","000050.SZ"
"15","000059.SZ"
"16","000060.SZ"
"17","000061.SZ"
"18","000063.SZ"
"19","000066.SZ"
"20","000069.SZ"
"21","000078.SZ"
"22","000088.SZ"
"23","000090.SZ"
"24","000099.SZ"
"25","000100.SZ"
"26","000157.SZ"
"27","000158.SZ"
"28","000159.SZ"
"29","000301.SZ"
"30","000338.SZ"
"31","000400.SZ"
"32","000401.SZ"
"33","000402.SZ"
"34","000410.SZ"
"35","000415.SZ"
"36","000417.SZ"
"37","000418.SZ"
"38","000422.SZ"
"39","000423.SZ"
"40","000425.SZ"
"41","000426.SZ"
"42","000428.SZ"
"43","000488.SZ"
"44","000501.SZ"
"45","000503.SZ"
"46","000506.SZ"
"47","000510.SZ"
"48","000511.SZ"
"49","000513.SZ"
"50","000514.SZ"
"51","000517.SZ"
"52","000518.SZ"
"53","000522.SZ"
"54","000525.SZ"
"55","000527.SZ"
"56","000528.SZ"
"57","000533.SZ"
"58","000538.SZ"
"59","000539.SZ"
"60","000540.SZ"
"61","000541.SZ"
"62","000543.SZ"
"63","000550.SZ"
"64","000554.SZ"
"65","000559.SZ"
"66","000562.SZ"
"67","000563.SZ"
"68","000568.SZ"
"69","000571.SZ"
"70","000572.SZ"
"71","000581.SZ"
"72","000597.SZ"
"73","000598.SZ"
"74","000601.SZ"
"75","000608.SZ"
"76","000612.SZ"
"77","000616.SZ"
"78","000617.SZ"
"79","000620.SZ"
"80","000623.SZ"
"81","000625.SZ"
"82","000627.SZ"
"83","000629.SZ"
"84","000630.SZ"
"85","000631.SZ"
"86","000636.SZ"
"87","000650.SZ"
"88","000651.SZ"
"89","000652.SZ"
"90","000655.SZ"
"91","000656.SZ"
"92","000659.SZ"
"93","000667.SZ"
"94","000680.SZ"
"95","000682.SZ"
"96","000683.SZ"
"97","000685.SZ"
"98","000686.SZ"
"99","000690.SZ"
"100","000698.SZ"
"101","000703.SZ"
"102","000708.SZ"
"103","000709.SZ"
"104","000712.SZ"
"105","000713.SZ"
"106","000717.SZ"
"107","000718.SZ"
"108","000725.SZ"
"109","000726.SZ"
"110","000728.SZ"
"111","000729.SZ"
"112","000732.SZ"
"113","000735.SZ"
"114","000738.SZ"
"115","000750.SZ"
"116","000755.SZ"
"117","000758.SZ"
"118","000759.SZ"
"119","000762.SZ"
"120","000768.SZ"
"121","000776.SZ"
"122","000777.SZ"
"123","000778.SZ"
"124","000780.SZ"
"125","000783.SZ"
"126","000786.SZ"
"127","000792.SZ"
"128","000793.SZ"
"129","000799.SZ"
"130","000800.SZ"
"131","000807.SZ"
"132","000816.SZ"
"133","000822.SZ"
"134","000823.SZ"
"135","000825.SZ"
"136","000826.SZ"
"137","000829.SZ"
"138","000830.SZ"
"139","000837.SZ"
"140","000839.SZ"
"141","000848.SZ"
"142","000850.SZ"
"143","000852.SZ"
"144","000858.SZ"
"145","000860.SZ"
"146","000861.SZ"
"147","000869.SZ"
"148","000876.SZ"
"149","000877.SZ"
"150","000878.SZ"
"151","000886.SZ"
"152","000887.SZ"
"153","000893.SZ"
"154","000895.SZ"
"155","000897.SZ"
"156","000898.SZ"
"157","000900.SZ"
"158","000903.SZ"
"159","000911.SZ"
"160","000912.SZ"
"161","000917.SZ"
"162","000918.SZ"
"163","000919.SZ"
"164","000925.SZ"
"165","000926.SZ"
"166","000927.SZ"
"167","000930.SZ"
"168","000931.SZ"
"169","000932.SZ"
"170","000933.SZ"
"171","000935.SZ"
"172","000936.SZ"
"173","000937.SZ"
"174","000939.SZ"
"175","000949.SZ"
"176","000951.SZ"
"177","000959.SZ"
"178","000960.SZ"
"179","000961.SZ"
"180","000962.SZ"
"181","000963.SZ"
"182","000968.SZ"
"183","000969.SZ"
"184","000973.SZ"
"185","000975.SZ"
"186","000979.SZ"
"187","000983.SZ"
"188","000987.SZ"
"189","000988.SZ"
"190","000997.SZ"
"191","000998.SZ"
"192","000999.SZ"
"193","001696.SZ"
"194","002001.SZ"
"195","002005.SZ"
"196","002006.SZ"
"197","002007.SZ"
"198","002008.SZ"
"199","002011.SZ"
"200","002022.SZ"
"201","002024.SZ"
"202","002025.SZ"
"203","002028.SZ"
"204","002029.SZ"
"205","002038.SZ"
"206","002041.SZ"
"207","002048.SZ"
"208","002051.SZ"
"209","002056.SZ"
"210","002063.SZ"
"211","002064.SZ"
"212","002065.SZ"
"213","002069.SZ"
"214","002073.SZ"
"215","002075.SZ"
"216","002078.SZ"
"217","002081.SZ"
"218","002083.SZ"
"219","002091.SZ"
"220","002092.SZ"
"221","002097.SZ"
"222","002106.SZ"
"223","002109.SZ"
"224","002110.SZ"
"225","002121.SZ"
"226","002122.SZ"
"227","002123.SZ"
"228","002128.SZ"
"229","002129.SZ"
"230","002140.SZ"
"231","002142.SZ"
"232","002146.SZ"
"233","002152.SZ"
"234","002154.SZ"
"235","002155.SZ"
"236","002161.SZ"
"237","002168.SZ"
"238","002179.SZ"
"239","002181.SZ"
"240","002183.SZ"
"241","002190.SZ"
"242","002191.SZ"
"243","002194.SZ"
"244","002202.SZ"
"245","002204.SZ"
"246","002218.SZ"
"247","002223.SZ"
"248","002225.SZ"
"249","002230.SZ"
"250","002232.SZ"
"251","002233.SZ"
"252","002237.SZ"
"253","002238.SZ"
"254","002241.SZ"
"255","002242.SZ"
"256","002249.SZ"
"257","002250.SZ"
"258","002252.SZ"
"259","002254.SZ"
